Column1;Unnamed: 0;food;Caloric Value;Fat;Saturated Fats;Monounsaturated Fats;Polyunsaturated Fats;Carbohydrates;Sugars;Protein;Dietary Fiber;Cholesterol;Sodium;Water;Vitamin A;Vitamin B1;Vitamin B11;Vitamin B12;Vitamin B2;Vitamin B3;Vitamin B5;Vitamin B6;Vitamin C;Vitamin D;Vitamin E;Vitamin K;Calcium;Copper;Iron;Magnesium;Manganese;Phosphorus;Potassium;Selenium;Zinc;Nutrition Density
162;162;chocolate milk dessert;229;14;8;5;84;516;516;59;0;0;1;767;0;39;13;76;4;1;0;74;1;0;0;0;211;100;20;617;0;1685;4562;53;6;27099
163;163;chocolate mousse;338;24;137;75;13;241;222;62;9;2100;81;944;2;58;30;99;3;2;8;22;2;0;8;44;144;1;8;30;23;1755;2145;47;1;2004
164;164;dulce de leche;60;14;9;4;63;105;95;13;0;55;36;55;94;11;44;8;94;15;2;74;5;40;87;8;477;59;1;42;76;367;665;58;2;61415
165;165;apple crisp;454;97;19;38;32;87;555;49;39;0;1;1774;1;2;39;0;2;24;3;1;62;0;11;56;987;2;23;226;4;79;220;55;5;212724
166;166;spinach spaghetti cooked;182;9;1;1;4;366;0;64;0;0;61;954;0;1;86;0;1;21;3;1;0;0;0;0;42;3;15;868;21;1512;812;45;15;874
167;167;corn pasta cooked;176;1;1;3;5;391;0;37;67;0;0;956;0;74;15;0;32;8;2;30;0;0;0;0;14;2;4;504;2;1064;434;81;9;523
168;168;spaghetti with meat sauce;255;29;1;9;9;431;74;143;51;170;7;2202;0;3;1;77;38;5;2;2;153;0;14;2;509;4;35;425;6;1387;4075;61;14;1351
169;169;pasta with meatballs in tomato sauce;273;13;5;57;9;283;72;106;69;230;7;1995;52;2;89;42;3;51;5;2;77;61;2;27;306;2;33;357;6;1173;3596;23;15;100474
170;170;cheese tortellini;332;78;39;22;5;508;1;146;21;454;4;329;79;3;51;38;3;29;0;15;0;0;2;87;1642;53;16;227;0;229;961;64;11;241181
171;171;pasta with sliced franks in tomato sauce;227;6;25;25;1;32;8;11;4;227;7;1971;54;2;1;31;2;29;6;2;96;70;19;72;1512;3;23;353;3;1084;4813;20;13;216154
172;172;lasagna;166;61;29;22;5;189;38;9;21;209;5;872;2;74;96;0;0;25;19;4;2;31;0;1;80;1082;1;9;246;2;1415;2411;1;36675
173;173;macaroni cheese;310;94;31;42;2;437;3;126;23;151;9;1202;2;15;3;0;20;2;22;8;56;0;0;1;0;1607;1;22;284;4;4423;1512;0;68319
174;174;vegetable lasagna;316;137;55;33;26;322;58;156;43;318;1;1617;52;3;12;98;4;18;4;2;25;0;1;82;3405;2;12;477;4;3178;3859;87;2;410066
175;175;spinach egg noodles cooked;211;25;6;8;6;388;11;81;37;528;68;1096;37;4;1;71;2;24;4;2;0;53;9;2;304;1;17;384;5;912;592;28;1;85297
176;176;cheese lasagna;316;13;51;38;25;336;103;159;41;316;7;1769;84;3;36;93;4;33;5;2;416;0;21;97;2697;3;31;51;5;260;4423;59;22;38108
177;177;pasta with tomato sauce;176;18;4;3;5;351;101;56;23;151;1;207;71;99;1;18;0;1;33;0;1;0;0;16;83;328;1;23;353;4;983;4838;65;45091
178;178;spinach pasta cooked;37;3;78;73;43;71;0;14;0;93;4;194;39;84;41;69;91;3;79;71;0;0;0;0;51;93;3;68;44;161;105;0;2;14201
179;179;vegetable chicken soup;166;48;14;22;1;211;34;123;1;169;75;201;50;69;90;31;2;33;0;83;55;0;7;54;265;2;15;96;0;106;3687;38;22;72737
180;180;bean ham soup;198;25;6;1;7;335;78;103;98;49;5;1958;0;1;99;0;68;8;3;1;27;0;1;35;931;2;25;466;6;319;3871;21;13;1544
181;181;cream of chicken soup;227;145;43;52;27;18;14;6;0;202;18;2085;1;64;27;0;1;1;5;0;3;0;14;52;353;3;27;101;2;781;1235;84;7;769
182;182;tomato soup canned;139;33;18;8;3;226;165;63;15;101;5;2167;14;36;97;61;3;14;5;2;159;70;5;83;1739;2;14;302;2;1562;4612;67;9;224932
183;183;egg drop soup;65;15;4;5;3;103;2;28;1;554;9;2238;2;13;21;0;79;4;3;96;157;80;3;41;169;81;6;48;23;362;53;28;2;48808
184;184;scotch broth;197;64;27;19;13;23;0;121;3;119;21;2497;0;59;85;31;1;28;8;2;21;0;2;0;358;6;2;89;9;1341;3874;26;39;844
185;185;cream of onion soup;268;128;36;51;35;317;111;67;12;366;19;2471;80;1;49;0;2;12;7;7;31;0;13;35;824;3;15;153;6;915;2989;95;4;139473
186;186;chicken broth dry;10;2;55;13;69;11;0;7;0;6;12;1;0;52;62;30;18;2;9;89;70;0;74;0;91;0;59;27;49;92;18;75;79;11198
187;187;vegetable soup with beef broth;162;38;9;11;16;263;4;6;32;25;13;2048;2;1;8;0;40;19;7;1;47;0;3;65;344;3;19;123;7;787;3862;41;16;805
188;188;chili with beans canned;287;141;6;6;9;305;3;146;113;435;13;1933;0;1;18;0;3;9;36;3;44;0;13;74;1203;3;88;1152;3;3942;9344;18;51;2040
189;189;beef noodle soup;168;62;23;25;1;179;52;96;15;100;16;2111;37;1;17;37;1;21;4;79;8;0;25;20;30;3;22;125;5;925;1975;63;31;68232
190;190;consomme dry;17;2;0;0;0;19;11;22;0;0;8;2359;0;1;48;0;2;13;51;39;2;0;33;0;125;21;2;75;80;149;573;58;82;172
191;191;chicken mushroom soup;126;61;16;27;15;151;1;2;4;101;8;1013;40;19;65;30;1;16;3;46;0;0;8;61;29;48;9;88;1;277;1588;46;1;57171
192;192;beef vegetable soup;120;29;1;7;9;154;31;8;3;175;8;2206;3;94;85;27;86;24;0;3;9;0;11;40;45;49;13;25;2;120;435;2;14;849
193;193;black bean soup;234;34;9;12;11;396;64;124;175;0;25;1936;0;1;2;0;1;11;4;2;5;0;9;35;90;8;39;848;13;1928;6425;0;28;1673
194;194;split pea soup with ham bacon;189;31;9;12;6;286;0;116;41;41;1;883;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;495
195;195;cream of mushroom soup;199;134;24;31;73;171;1;34;18;0;17;2134;57;20;8;0;79;9;4;35;0;71;13;24;302;16;5;76;28;605;1613;93;3;66404
196;196;green pea soup;320;57;27;19;7;517;167;167;10;0;17;1755;67;2;72;0;1;24;3;1;33;0;5;24;538;7;38;768;13;2432;3712;99;33;145005
197;197;chicken broth soup;78;26;8;12;6;19;9;111;0;25;16;2317;0;54;92;67;1;56;1;35;0;0;48;0;151;3;1;5;5;1512;4284;24;5;317
198;198;chicken mushroom chowder soup;431;237;62;45;94;383;0;162;75;323;18;4538;0;0;0;0;0;0;0;0;108;0;0;0;0;0;26;0;0;0;0;0;0;991
199;199;chicken dumplings soup;235;134;32;61;32;147;14;136;12;805;18;2498;77;74;27;24;2;43;4;37;0;0;13;86;358;3;15;89;12;149;2831;48;9;80269
200;200;chicken vegetable soup;148;56;17;25;12;17;3;71;17;169;17;207;28;61;93;76;1;24;3;13;19;0;6;36;339;2;17;121;7;799;3049;1;7;68983
201;201;turkey vegetable soup;72;3;9;13;7;86;26;31;5;24;9;2239;1;31;76;77;97;1;9;79;0;0;8;17;169;2;8;48;5;41;1759;17;6;330
202;202;wonton soup;71;6;1;2;2;117;8;46;4;89;9;2033;43;80;60;74;43;13;3;2;16;0;1;58;112;41;5;67;42;401;714;74;3;30692
203;203;beef stock;31;2;3;1;5;29;13;47;0;0;5;2301;0;44;38;0;2;21;0;1;0;0;48;24;192;1;6;168;0;744;444;19;4;276
204;204;mushroom barley soup;186;55;11;24;17;293;0;46;0;0;17;2589;0;9;77;0;2;21;3;4;0;0;0;0;305;5;12;214;3;1525;2318;0;12;711
205;205;gazpacho soup;70;4;8;59;1;66;22;107;7;0;11;346;0;58;12;0;91;14;3;2;107;0;7;41;369;2;15;111;11;554;3395;19;4;675
206;206;beef mushroom soup;186;73;37;31;3;159;0;14;6;153;22;2608;0;71;44;35;2;27;6;1;0;0;0;0;122;6;21;214;9;885;3843;0;34;521
207;207;chicken rice soup;127;32;1;14;7;13;14;123;1;120;9;2083;47;18;74;51;2;41;4;12;38;0;6;84;336;2;19;96;2;72;108;77;1;68818
208;208;pepperpot soup;100;45;2;2;3;91;0;62;5;97;9;2198;0;71;20;24;27;12;3;80;12;0;97;0;267;1;9;49;6;413;1482;0;12;491
209;209;vegetable soup;149;4;6;17;15;246;79;43;13;0;13;214;0;1;51;0;49;19;7;1;3;0;29;41;428;3;22;151;9;706;4309;88;1;822
210;210;chili beef soup;308;67;33;27;2;496;134;134;66;263;21;1864;2;0;1;4;67;2;21;6;3;82;0;28;72;868;8;43;50;21;2972;105200;1;77607
211;211;chicken soup;174;65;19;29;13;169;21;124;15;294;9;2061;27;55;72;49;2;43;4;30;12;0;3;85;245;2;17;74;2;1103;1715;99;1;64716
212;212;bean with frankfurters soup;188;7;21;27;17;22;0;10;0;125;11;2076;0;1;38;0;18;1;1;1;1;0;0;0;875;4;24;475;8;165;4775;73;12;1299
213;213;pea soup;161;28;14;1;4;256;83;83;49;0;15;219;55;1;8;0;74;12;0;8;16;0;2;66;311;4;19;389;0;1217;1839;41;17;7626
214;214;turkey soup;135;44;12;18;11;141;0;102;0;94;9;2038;0;45;14;79;1;36;9;3;64;0;0;0;496;2;19;236;2;1038;3611;0;21;866
215;215;stockpot soup;201;78;17;2;35;231;0;98;0;77;21;2113;0;2;92;0;1;25;7;2;41;0;0;0;439;3;18;77;5;1084;4773;0;23;905
216;216;hot sour soup;91;28;5;7;7;101;1;6;12;489;9;2112;88;32;21;6;30;12;5;1;0;17;9;59;443;32;15;21;2;746;1282;84;5;65954
217;217;cheese soup;203;97;61;27;3;28;93;2;55;74;17;2026;2;23;55;0;3;8;2;34;0;0;14;74;893;2;4;298;5;818;918;36;4;1351
218;218;cream of potato soup;186;47;24;11;8;322;36;38;33;25;15;2152;87;12;67;0;96;11;18;0;5;0;2;56;428;5;9;328;8;1033;4158;50;4;88202
219;219;bean with bacon soup;106;21;1;9;2;164;6;55;9;27;9;2378;0;86;69;0;3;4;84;99;11;0;6;9;557;3;13;292;5;901;326;15;7;911
220;220;fish stock;40;19;5;5;3;0;0;53;0;23;4;2259;36;9;72;47;2;28;8;86;2;0;4;0;7;1;19;163;1;1305;3355;68;1;14488
221;221;split pea soup with ham;381;89;35;36;13;562;0;207;46;162;17;1773;0;3;41;0;2;3;5;1;3;0;0;0;432;7;46;972;14;4293;8019;81;27;1412
222;222;beef broth soup;17;5;3;2;49;10;0;27;0;0;9;2341;0;23;95;72;55;19;11;54;0;0;0;0;144;0;4;48;35;312;1296;23;0;18049
223;223;lentil soup with ham;139;28;11;13;3;202;0;93;0;74;13;2127;0;2;36;56;1;14;3;2;42;0;0;0;422;2;27;223;3;1835;3571;11;7;814
224;224;tomato soup;98;7;2;2;2;225;122;22;16;0;6;1196;0;44;0;0;76;13;0;1;191;0;5;34;192;12;9;207;2;459;8318;81;3;662
225;225;fish broth;39;15;3;3;6;1;2;49;0;0;5;2342;68;0;55;22;89;33;0;57;0;0;4;94;732;1;5;24;0;732;2098;71;2;81193
226;226;chili without beans canned;283;17;54;59;11;146;0;181;0;504;9;1864;0;44;0;39;3;3;4;3;43;0;0;0;72;5;48;48;7;1848;444;43;27;1308
227;227;minestrone soup;167;5;11;14;22;226;37;86;2;25;13;2041;0;1;86;0;8;19;7;2;22;0;11;52;689;2;18;148;7;1132;6273;29;15;1111
228;228;clam chowder soup;154;44;8;8;26;245;68;44;3;50;18;2124;51;87;53;65;86;16;4;2;81;0;26;11;479;3;33;202;8;832;378;57;19;9569
229;229;tomato vegetable soup;54;8;4;3;54;99;24;19;7;0;3;2309;0;88;30;0;91;12;1;95;29;0;4;79;196;1;6;98;1;343;1642;60;2;364
230;230;cream of rice coup;127;2;70;71;32;281;22;22;2;0;4;2135;0;0;28;0;0;1;2;29;0;0;92;0;73;4;5;73;4;415;488;8;4;385
231;231;cream of celery soup;181;112;28;26;5;177;34;33;15;277;13;2141;42;69;52;0;49;7;23;1;5;0;35;2;806;3;13;126;5;756;247;51;3;116189
232;232;chicken gravy;188;136;34;61;36;129;19;46;1;48;1;2031;88;91;20;57;1;11;76;12;0;0;3;46;476;2;11;48;5;69;2594;20;19;80872
233;233;tomato rice soup;240;55;1;12;27;441;152;42;34;26;16;199;42;1;49;0;1;21;3;2;297;0;45;81;464;3;16;103;8;671;6631;98;1;134933
234;234;vegetable beef soup;128;2;6;7;3;96;0;181;44;88;11;2587;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;341
235;235;tomato beef noodle soup;281;86;32;35;14;423;0;89;3;75;18;1859;0;2;50;77;2;37;4;2;0;0;16;0;351;3;22;151;5;113;4418;37;15;1001
236;236;oyster stew soup;118;77;5;18;3;82;0;42;0;271;18;2211;0;68;28;61;77;5;2;58;64;0;0;0;443;32;2;98;7;959;984;35;207;728
237;237;ramen noodle soup dry;371;133;64;56;12;539;13;89;2;0;17;42;0;9;8;35;2;35;2;14;3;0;13;38;247;1;34;196;4;1012;1522;21;7;1065
238;238;chicken noodle soup;145;47;12;16;1;184;0;72;27;242;21;2672;29;11;2;97;1;2;37;5;1;0;0;2;0;182;4;2;242;3;1151;1454;95;33513
239;239;chicken bouillon dry;11;6;1;2;2;7;7;7;0;5;1;43;0;78;86;4;8;16;85;26;48;0;60;0;75;0;61;22;48;66;124;79;83;9502
240;240;cream of asparagus soup;174;82;21;19;37;215;18;46;1;101;17;2118;91;1;89;0;2;16;3;33;55;0;12;10;58;3;16;76;8;781;3478;9;18;10043
241;241;turkey noodle soup;139;4;11;16;1;173;1;78;15;101;16;2177;82;1;60;52;1;28;4;17;3;0;4;62;227;3;19;101;5;958;1512;28;12;55582
242;242;cream of shrimp soup;181;104;65;3;4;165;0;56;5;328;17;2138;26;85;80;15;29;9;3;54;0;0;0;0;353;3;11;176;8;655;1184;24;15;6941
243;243;bean with pork soup;335;115;3;42;35;441;78;153;153;52;17;1824;21;2;54;0;30;11;29;36;31;0;23;11;156;4;4;858;6;2548;975;52;2;249324
244;244;chicken broth;12;5;8;1;42;1;0;1;0;0;9;2298;0;28;0;0;30;12;40;72;165;0;0;0;141;77;5;24;1;306;188;0;2;336
245;245;beef broth powder;8;3;2;1;40;6;6;6;0;4;9;1;0;29;73;8;75;2;75;44;0;0;68;16;22;0;30;18;33;115;161;32;0;3739
246;246;split pea soup;180;23;8;9;4;299;128;97;48;51;4;2085;0;2;19;0;79;12;6;2;0;0;5;22;43;3;19;354;5;1366;463;88;1;916
247;247;escarole soup;61;4;12;18;8;4;0;34;0;55;23;5358;0;2;58;60;1;51;4;5;10;0;0;0;719;8;17;111;28;177;5917;0;5;950
248;248;chicken stock;86;29;8;14;5;85;38;6;0;72;3;2212;9;73;59;0;2;38;0;1;5;0;46;81;72;1;5;96;0;648;252;91;3;25696
249;249;tomato bisque soup;248;5;11;14;22;477;0;45;21;103;18;1943;17;1;97;0;1;23;3;2;119;0;0;0;80;3;17;181;5;1213;8385;0;12;152913
250;250;shark fin soup;99;43;11;13;7;82;0;69;0;43;11;1947;0;19;48;9;86;11;3;17;2;0;0;0;216;2;2;151;2;454;1145;0;18;432
251;251;onion soup;113;35;5;15;13;164;67;75;17;0;13;2124;20;22;99;0;16;12;0;95;25;0;5;88;541;2;14;49;5;221;1378;73;12;87173
252;252;chicken gumbo soup;113;29;7;13;7;168;49;53;4;76;17;2218;0;5;41;0;8;13;4;1;101;0;9;24;479;3;18;76;5;504;1512;84;8;888
253;253;crab soup;95;8;2;2;3;125;0;104;24;415;6;2174;0;64;70;88;1;25;3;1;93;0;0;41;83;5;19;415;5;1537;4343;49;19;1203
254;254;tripe soup;148;52;21;22;6;81;0;172;0;1180;8;1668;0;41;0;93;11;1;3;13;0;0;8;31;44;49;14;20;1;84;162;39;21;759
255;255;little india little lunch;164;106;156;122;14;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;126
256;256;original chicken sandwich chick fil a;125;51;116;79;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51
257;257;sausage mcmuffin mcdonalds;383;242;83;89;37;282;22;146;16;449;8;448;0;4;8;30;3;48;6;2;0;0;3;0;2576;1;23;242;3;1875;2162;0;15;3285
258;258;sausage mcgriddles mcdonalds;421;24;73;102;35;422;152;114;14;324;1;541;0;3;37;38;2;42;5;1;0;0;0;0;851;1;19;189;3;4266;1958;0;1;1660
259;259;crispy chicken drumstick kentucky fried chicken;70;3;8;12;8;0;0;106;0;562;2;266;25;80;0;80;1;22;5;1;0;0;0;0;66;98;4;94;91;918;1119;15;1;20632
260;260;chicken crispy drumsticks kentucky fried chicken;156;101;22;34;36;45;0;118;0;621;4;293;71;45;0;28;1;26;6;1;0;0;0;0;143;2;5;12;60;1129;1351;64;1;41248
261;261;biscuit kentucky fried chicken;185;91;22;61;6;221;17;38;8;5;5;151;0;2;0;74;1;17;2;35;0;0;7;71;312;9;15;78;2;3047;598;76;3;685
262;262;english muffin mcdonalds;97;23;11;154;11;29;15;57;2;207;31;0;3;4;0;2;27;3;36;0;0;3;0;1664;80;18;131;3;684;73;0;5;0;24548
263;263;french fries mcdonalds;378;181;27;86;55;498;2;4;46;0;2;429;52;0;2;0;0;37;38;7;4;66;0;16;3;222;1;9;433;3;1486;6973;70;77129
264;264;hotdog;383;23;81;108;27;285;0;164;0;698;11;836;0;4;96;43;4;58;8;94;2;0;0;0;372;1;37;202;1;1535;2263;90;31;1090
265;265;french fries burger king;207;92;16;24;44;286;4;24;21;0;2;325;85;0;1;0;0;26;16;4;2;16;0;18;83;126;5;5;20;2;881;3456;0;42635
266;266;original taco with beef cheese lettuce taco bell;158;88;3;3;21;137;6;61;27;193;3;393;0;56;56;52;65;11;0;86;3;0;4;68;614;94;8;221;2;1228;1442;21;12;938
267;267;hotdog with chili;296;134;49;66;12;313;0;135;0;513;5;545;0;2;31;17;4;37;5;3;27;0;0;0;194;1;33;103;1;1915;1664;38;8;836
268;268;chicken crispy wings kentucky fried chicken;148;101;21;33;38;51;0;92;0;471;3;184;33;29;0;51;33;24;5;1;0;0;0;0;154;2;3;97;15;845;981;3;5;40161
269;269;egg white delight mcdonalds;250;16;4;18;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160
270;270;french toast sticks burger king;73;37;8;2;5;87;21;13;3;0;14;7;0;66;0;0;39;5;72;37;0;0;2;9;111;36;4;4;68;183;233;49;1;255
271;271;mcchicken mcdonalds;358;173;31;58;65;366;47;137;17;354;8;604;1;0;3;0;34;3;52;0;0;0;0;0;0;1153;1;23;262;5;1821;2266;0;695
272;272;nachos supreme taco bell;480;266;78;137;28;45;0;148;8;371;8;1049;0;2;31;44;3;19;5;3;0;0;14;74;1424;2;42;897;5;3842;4719;55;27;2410
273;273;crispy chicken wing kentucky fried chicken;104;53;11;17;18;13;0;126;0;642;3;237;19;29;0;23;32;31;5;2;0;0;0;0;132;6;4;11;85;994;1166;33;8;32851
274;274;chicken strips burger king;105;55;1;15;27;74;0;66;5;158;3;155;55;76;80;20;65;46;29;2;1;4;0;14;46;47;5;2;97;36;1048;1134;70;20168
275;275;crispy chicken breast kentucky fried chicken;214;67;17;24;23;4;0;382;0;1218;7;92;61;49;0;55;2;153;23;6;0;0;0;0;28;8;7;392;92;3542;4326;42;12;74065
276;276;sausage biscuit mcdonalds;440;297;125;103;4;318;23;113;14;339;1;406;49;5;1;29;3;5;6;1;0;0;9;0;644;31;24;152;2;3779;2071;0;1;14105
277;277;sausage burrito mcdonalds;339;171;61;65;24;242;14;13;12;1729;8;558;4;2;45;36;3;19;9;4;9;0;2;0;2034;5;18;192;2;2475;1548;0;13;261627
278;278;onion rings fried;27;16;3;4;8;28;4;3;2;0;15;16;0;45;0;0;70;1;76;76;55;0;3;0;75;75;38;12;21;103;109;11;7;12551
279;279;onion rings burger king;379;23;38;63;111;397;49;35;25;0;7;223;0;1;0;0;63;6;3;1;13;0;45;0;1047;12;7;173;3;1438;152;23;5;1754
280;280;turkey patty fried;79;5;13;21;13;44;53;39;1;210;2;139;88;96;83;54;32;6;1;69;0;78;3;74;39;27;6;42;49;756;77;54;4;17934
281;281;hotcakes with syrup mcdonalds;601;178;18;19;46;1018;455;9;2;199;6;897;0;4;1;0;4;32;11;1;0;0;0;0;126;1;28;287;4;3912;2763;0;6;2594
282;282;crispy chicken thigh kentucky fried chicken;163;91;25;38;21;0;0;204;0;1074;5;598;78;43;0;57;2;48;12;3;0;0;0;0;191;37;9;20;95;2029;2466;40;17;49591
283;283;corn dog;195;94;27;37;26;21;59;67;8;343;5;392;1;28;1;14;23;1;22;6;59;4;44;5;86;562;1;15;133;29;1747;975;12;38257
284;284;chicken box mcdonalds;70;4;8;28;11;55;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97
285;285;potato wedges kentucky fried chicken;379;198;4;119;24;45;0;54;42;0;1;592;0;2;0;0;26;29;8;3;0;0;11;68;348;2;14;402;4;142;6995;0;6;1106
286;286;scrambled eggs mcdonalds;98;75;21;27;11;9;1;77;0;2178;40;341;46;18;29;8;3;34;6;11;0;0;7;0;337;96;11;61;49;1331;709;0;7;50931
287;287;egg mcmuffin mcdonalds;287;122;45;34;22;273;27;172;14;2079;8;663;1;0;3;38;0;5;39;11;2;15;0;7;0;2419;1;29;252;3;252;218;0;585
288;288;nachos taco bell;362;219;47;126;26;36;0;51;38;40;5;339;0;1;36;0;1;9;3;2;0;0;1;70;881;1;11;515;3;2802;1802;48;11;1560
289;289;biscuit large mcdonalds;310;144;83;34;2;394;27;55;18;0;9;276;95;4;1;46;3;37;4;88;0;0;11;0;684;91;25;99;2;3978;108;0;4;132022
290;290;crispy chicken strips kentucky fried chicken;129;72;14;2;32;64;0;95;7;240;4;225;0;75;0;6;15;4;6;2;0;0;4;92;118;14;3;155;1;1401;1565;67;3;359
291;291;hotcakes mcdonalds;113;29;6;6;15;19;44;3;7;64;2;239;0;1;88;0;1;11;4;5;0;0;3;0;417;54;9;94;1;129;858;0;2;682
292;292;chicken crispy breast kentucky fried chicken;375;232;5;76;88;119;0;297;0;1064;8;72;23;67;0;83;1;114;19;4;0;0;0;0;378;6;8;336;2;301;3612;90;11;103428
293;293;hotcakes sausage mcdonalds;776;349;73;9;65;1024;457;155;21;502;9;1074;0;6;1;4;5;52;14;2;0;0;0;0;1346;2;32;37;4;4514;3907;0;13;2927
294;294;chicken mcnuggets mcdonalds;48;32;5;13;9;24;25;25;0;70;9;75;71;0;23;0;5;49;12;1;72;2;0;0;0;18;17;1;38;73;435;403;0;8181
295;295;chips chipotle;151;71;9;193;11;21;21;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94
296;296;biscuit mcdonalds;261;122;7;28;17;333;22;47;15;0;7;233;70;4;1;22;3;31;3;49;0;0;9;0;578;49;21;84;2;3359;912;0;3;111687
297;297;rice bowl with chicken;36;4;10;1;1;64;12;16;2;45;64;196;26;68;94;14;70;6;1;70;8;0;80;43;37;57;8;4;75;266;348;35;1;13178
298;298;spaghetti with meatballs;200;82;29;33;11;229;58;87;54;140;6;1576;2;72;2;80;83;1;4;6;1;38;49;1;36;58;1;21;26;3;114;434;57;45656
299;299;meat ravioli canned;259;89;37;42;6;36;63;89;42;131;9;2051;88;1;39;63;2;34;0;2;0;0;14;90;341;1;28;341;4;1127;4428;19;12;94963
300;300;cheese ravioli canned;186;35;17;1;4;33;9;6;31;73;7;1958;0;2;11;0;2;26;7;2;0;0;21;67;799;3;18;363;4;121;5614;43;9;1273
301;301;premium crispy chicken ranch blt sandwich mcdonalds;586;229;47;91;78;598;133;353;34;720;12;1167;0;5;0;0;4;126;23;0;103;0;0;0;84;0;34;0;0;0;0;0;0;2191
302;302;steak sandwich;459;141;38;53;33;52;0;303;0;734;8;1042;0;4;4;38;4;73;9;4;55;0;0;0;918;2;52;49;4;2978;5243;8;45;1989
303;303;cheeseburger burger king;380;197;91;76;2;315;6;194;37;599;8;593;0;4;0;0;3;45;3;1;3;0;1;93;1237;1;33;319;4;1902;2367;28;32;2016
304;304;cheeseburger mcdonalds;313;14;53;43;4;331;74;154;13;417;7;536;0;3;95;20;3;48;0;0;7;0;0;0;1987;1;28;238;3;1666;238;0;23;2660
305;305;double cheeseburger;643;369;159;137;3;41;95;37;21;1140;9;1075;16;1;5;1;62;5;79;6;5;66;33;8;54;342;2;54;479;3;3762;5153;17;119347
306;306;double hamburger;942;586;216;229;113;514;132;521;52;1720;11;2068;15;0;7;2;36;7;121;7;4;7;59;25;94;1309;4;105;673;7;4151;7181;26;169626
307;307;premium grilled chicken classic sandwich mcdonalds;366;86;17;23;41;446;10;283;28;680;8;1146;51;4;0;65;4;13;19;6;64;0;11;0;74;1;3;56;7;390;456;0;14;167718
308;308;big n tasty with cheese mcdonalds;573;36;108;107;71;397;95;272;32;914;1;1401;0;3;1;70;7;78;0;0;44;0;0;0;2248;2;44;445;4;2816;4915;0;51;3397
309;309;premium grilled chicken club sandwich mcdonalds;493;18;64;56;48;443;64;383;27;1026;1;1171;0;4;0;0;4;124;18;0;98;0;0;0;2119;0;31;0;0;0;0;0;0;3281
310;310;quarter pounder mcdonalds;417;198;69;72;5;379;88;241;27;667;7;861;0;3;52;29;6;76;0;0;15;0;0;0;1436;2;41;376;3;212;3882;0;46;2337
311;311;premium crispy chicken classic sandwich mcdonalds;524;20;32;73;85;586;124;278;32;598;1;1196;0;5;1;0;4;127;24;0;58;0;0;0;782;2;33;621;1;3703;5221;0;15;1969
312;312;veggie burger;124;44;1;12;14;10;7;11;34;35;4;428;0;19;45;20;2;26;2;2;32;0;2;69;952;1;17;392;7;1442;2331;17;9;1289
313;313;quarter pounder with cheese mcdonalds;513;283;112;92;9;397;98;29;28;935;12;973;0;3;1;68;7;77;0;0;16;0;0;0;2866;2;42;438;3;3204;4358;0;52;3922
314;314;beef sandwich steak raw;173;151;65;62;3;0;0;92;0;398;43;314;0;66;76;41;65;26;2;1;0;77;1;46;67;68;1;9;92;745;1305;78;2;320
315;315;cheeseburger;292;132;6;51;14;287;59;15;16;414;6;553;5;87;4;83;91;2;35;3;11;7;42;3;40;1058;1;32;253;3;1541;2047;21;60289
316;316;premium grilled chicken ranch blt sandwich mcdonalds;412;109;3;38;34;443;105;337;28;768;1;1083;0;4;0;0;4;125;18;0;99;0;0;0;768;0;3;0;0;0;0;0;0;1814
317;317;double whopper with cheese burger king;1061;681;279;251;119;539;144;577;64;1875;15;2126;0;11;1;0;8;12;8;4;8;0;2;82;3112;3;211;758;6;5107;7541;75;14;5192
318;318;big mac mcdonalds;563;328;83;76;7;44;87;259;35;788;1;1123;0;4;1;48;5;74;0;0;9;0;0;0;254;2;44;438;5;2672;3964;0;42;3655
319;319;sandwich with cold cuts;833;393;139;145;75;799;124;411;47;1056;22;221;5;4;13;4;51;1;169;15;8;293;12;16;23;6686;5;71;782;9;4379;110260;65;166871
320;320;filet o fish mcdonalds;378;196;38;54;8;354;49;151;19;429;6;613;0;3;73;54;2;3;0;0;4;0;16;58;1608;25;21;362;4;1836;2948;17;8;2353
321;321;hand breaded chicken tenders carls jr;57;29;6;29;55;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31
322;322;grilled chicken sandwich wendys;370;8;42;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80
323;323;sandwich with roast beef;410;13;71;18;26;443;0;286;0;734;8;1274;30;4;53;15;4;6;8;3;56;0;0;0;41;4;28;67;4;1922;3305;73;44;135393
